PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Súper Agropal Palencia,20 may 2022,G  88-85,15,6,1,24,5-8,1-1,66.7%,2-3,66.7%,1,5,6,1,0,0,0,15,18
@ Levitec Huesca,13 may 2022,G  74-89,6,2,0,12,3-6,0-0,50.0%,0-0,-,1,1,2,0,0,0,0,6,5
vs Gipuzkoa Basket,8 may 2022,G  75-66,4,7,0,18,2-3,0-0,66.7%,0-0,-,1,6,7,0,0,0,0,4,10
@ Leyma Coruña,29 abr 2022,P  95-87,15,8,0,24,7-9,0-0,77.8%,1-4,25.0%,2,6,8,0,0,2,0,15,16
vs Coviran Granada,24 abr 2022,G  74-62,2,5,1,18,1-4,0-0,25.0%,0-0,-,3,2,5,1,0,0,1,2,6
@ Real Valladolid,17 abr 2022,P  86-77,10,5,1,18,4-5,0-0,80.0%,2-2,100.0%,0,5,5,1,0,0,0,10,15
vs Caceres,10 abr 2022,P  53-75,6,3,0,13,3-4,0-0,75.0%,0-0,-,0,3,3,0,0,1,0,6,7
@ Almansa Con Afanion,30 mar 2022,P  89-73,8,1,0,14,4-4,0-0,100.0%,0-0,-,1,0,1,0,0,3,0,8,6
vs Amics Castello,27 mar 2022,P  75-85,2,6,2,18,1-3,0-0,33.3%,0-0,-,1,5,6,2,0,1,0,2,7
@ C.B. Prat,20 mar 2022,P  96-78,4,1,0,12,2-6,0-0,33.3%,0-0,-,1,0,1,0,0,1,0,4,0
vs Fibwi Palma,16 mar 2022,G  101-80,17,1,2,21,8-9,0-0,88.9%,1-1,100.0%,1,0,1,2,0,1,3,17,21
vs HLA Alicante,12 mar 2022,G  85-69,4,7,0,21,2-6,0-0,33.3%,0-2,0.0%,2,5,7,0,0,0,0,4,5
@ Movistar Estudiantes,6 mar 2022,P  89-75,11,4,1,20,5-7,0-0,71.4%,1-2,50.0%,2,2,4,1,1,1,0,11,13
vs Melilla Ciudad Del Deporte 1,20 feb 2022,P  67-77,2,3,2,11,1-3,0-0,33.3%,0-0,-,1,2,3,2,0,1,1,2,5
@ Basquet Girona,13 feb 2022,P  78-71,0,0,0,2,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Levitec Huesca,10 feb 2022,G  92-100,4,0,0,8,2-2,0-0,100.0%,0-0,-,0,0,0,0,0,1,0,4,3
vs HLA Alicante,6 feb 2022,P  79-93,0,4,0,9,0-0,0-1,0.0%,0-0,-,0,4,4,0,0,0,1,0,4
@ Movistar Estudiantes,3 feb 2022,P  76-66,10,7,1,19,5-6,0-0,83.3%,0-0,-,4,3,7,1,0,2,0,10,15
vs Alimerka Oviedo,16 ene 2022,G  79-78,0,0,1,7,0-1,0-0,0.0%,0-0,-,0,0,0,1,0,0,0,0,0
@ Leyma Coruña,12 dic 2021,P  95-69,7,2,0,10,3-4,0-0,75.0%,1-1,100.0%,2,0,2,0,0,0,0,7,8
vs Coviran Granada,5 dic 2021,G  89-77,0,0,0,3,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Real Valladolid,19 nov 2021,G  68-72,3,1,1,13,1-1,0-0,100.0%,1-2,50.0%,0,1,1,1,0,0,2,3,6
vs Caceres,14 nov 2021,G  75-67,4,2,1,22,2-4,0-0,50.0%,0-0,-,1,1,2,1,0,3,1,4,3
@ Almansa Con Afanion,9 nov 2021,P  89-70,2,0,0,3,1-1,0-0,100.0%,0-0,-,0,0,0,0,0,0,0,2,2
vs Amics Castello,5 nov 2021,P  58-75,2,0,0,6,1-1,0-1,50.0%,0-0,-,0,0,0,0,1,1,0,2,1
vs Biele ISB,24 oct 2021,G  84-67,4,4,0,11,1-4,0-0,25.0%,2-3,66.7%,2,2,4,0,0,0,0,4,4
@ HLA Alicante,17 oct 2021,G  75-78,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Movistar Estudiantes,13 oct 2021,P  63-76,3,2,0,4,1-1,0-0,100.0%,1-1,100.0%,1,1,2,0,0,0,0,3,5
@ Fibwi Palma,10 oct 2021,G  61-69,0,0,0,5,0-1,0-0,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
